Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-06-12,324.4336242675781,325.00702012709036,321.4328982932597,323.43020338652536,2290800,2023,6,12
2023-06-13,327.31011962890625,329.9668254187453,324.39539884238565,325.11213633062414,1772400,2023,6,13
2023-06-14,323.4111328125,332.30823327180656,322.2739068141711,329.4890536966293,1819400,2023,6,14
2023-06-15,324.67254638671875,328.74362502919354,320.8117410909418,322.35988954255174,3322700,2023,6,15
2023-06-16,323.3060302734375,326.2589860145396,322.1592383200967,326.23988350883184,4542800,2023,6,16
2023-06-20,316.0525817871094,320.50591446463375,314.6286725627697,320.4485777954741,3208100,2023,6,20
2023-06-21,310.6531982421875,315.3645464365304,310.50985655390554,313.8833003840706,2158700,2023,6,21
2023-06-22,305.4066162109375,309.8790804055919,304.8619178720274,309.33435290255807,2409100,2023,6,22
2023-06-23,300.7526550292969,303.61960552208626,300.1410540895153,302.52061366600935,2609200,2023,6,23
2023-06-26,298.5068359375,302.5970461534212,298.3252892588015,301.15400524386257,2481000,2023,6,26
2023-06-27,299.5485534667969,301.6796346525014,296.7867105134601,298.554669137264,2156800,2023,6,27
2023-06-28,299.7492370605469,300.93423394372246,296.9109548773531,297.89527338995543,2423500,2023,6,28
2023-06-29,308.760986328125,311.0641065615013,302.2243431645923,303.7533891525586,3553600,2023,6,29
2023-06-30,308.2353820800781,311.570591495497,308.14937707337936,311.36991314653324,2361200,2023,6,30
2023-07-03,312.1248474121094,314.7911192054376,308.11113471883965,308.11113471883965,1106800,2023,7,3
2023-07-05,305.85577392578125,310.2135356366974,305.4544172536337,309.58283229475126,2561000,2023,7,5
2023-07-06,299.11846923828125,304.5083495837193,298.96556172875194,303.896719545602,2896900,2023,7,6
2023-07-07,301.1922302246094,303.29464277424626,298.83177350402843,299.30959851496283,2901200,2023,7,7
2023-07-10,302.4346008300781,305.8844838350737,301.98544409792436,302.6257425236393,1775800,2023,7,10
2023-07-11,306.6489562988281,306.8018637883669,300.62834420023927,304.6898564304762,2042600,2023,7,11
2023-07-12,311.9241943359375,318.5659743568976,309.8695524041709,310.1849041125667,2741300,2023,7,12
2023-07-13,314.10308837890625,314.67648430917313,311.2457037258453,312.83208649512807,2787800,2023,7,13
2023-07-14,311.7235107421875,317.73455808130274,310.60538728475757,317.2662696972564,1814800,2023,7,14
2023-07-17,312.6887512207031,312.9658687753143,309.97467903934916,311.43685181539485,1777400,2023,7,17
2023-07-18,322.3121032714844,323.2486508817723,312.7842704736073,312.7842704736073,3899100,2023,7,18
2023-07-19,325.4466552734375,330.5402870356399,316.6068911589563,323.00975899401584,6037400,2023,7,19
2023-07-20,335.29937744140625,336.08301751661304,324.11828885811104,324.11828885811104,3915000,2023,7,20
2023-07-21,336.3506164550781,339.3322402375551,331.4003557094496,336.1786064285801,3216300,2023,7,21
2023-07-24,343.011474609375,345.5821756456716,336.3888265853658,337.1820033158375,3517500,2023,7,24
2023-07-25,338.9690856933594,344.81765935540375,338.2810164881703,341.56845500583745,2893000,2023,7,25
2023-07-26,341.7022705078125,344.2825376177825,338.56773913461285,338.768417503215,2281600,2023,7,26
2023-07-27,338.7875061035156,344.550074696701,338.46258858856464,342.246954593192,2010800,2023,7,27
2023-07-28,337.56427001953125,340.68923511321,336.01609247571054,340.3165176033667,1827400,2023,7,28
2023-07-31,340.0871887207031,341.3582196568361,338.3192302429068,339.1411044756443,1385500,2023,7,31
2023-08-01,341.85516357421875,341.9985052600144,337.717211368905,338.3001439458498,2024300,2023,8,1
2023-08-02,335.52874755859375,339.2462111893555,333.39763738976063,339.2462111893555,2106600,2023,8,2
2023-08-03,337.4973449707031,339.45641573232666,333.15868596581356,334.4679217509507,1840400,2023,8,3
2023-08-04,337.5547180175781,342.82035922215846,336.8762146355909,337.66939135942096,1724700,2023,8,4
2023-08-07,339.79095458984375,341.80739150990775,338.2237035572102,339.6380470708334,1260300,2023,8,7
2023-08-08,332.8147277832031,336.3888499817382,326.86101689949714,336.10216660479125,1917300,2023,8,8
2023-08-09,327.49176025390625,333.0058512553097,327.3006185535757,331.4386001362887,1326000,2023,8,9
2023-08-10,325.30328369140625,331.85905845174665,324.72988780654066,328.8105323419353,1345900,2023,8,10
2023-08-11,325.6186828613281,326.6316696770958,322.57969324989733,324.8541452504757,1256800,2023,8,11
